organism,pos_count,neg_count,pos_prop,neg_prop
Anopheles gambiae,2,0,4.4211264411214276e-07,0.0
Apis mellifera,1,0,2.2105632205607138e-07,0.0
Arabidopsis thaliana,130026,134804,0.02874306933166274,0.029799276438446647
Bacillus subtilis,21,18,4.642182763177499e-06,3.979013797009285e-06
Bos taurus,615,650,0.0001359496380644839,0.0001436866093364464
Caenorhabditis elegans,61122,62570,0.013511404516711194,0.013831494071048386
Candida albicans,1543,1516,0.0003410899049325181,0.0003351213842370042
Canis familiaris,89,58,1.967401266299035e-05,1.282126667925214e-05
Cavia porcellus,9,2,1.9895068985046423e-06,4.4211264411214276e-07
Chlamydomonas reinhardtii,16,10,3.536901152897142e-06,2.210563220560714e-06
Cricetulus griseus,47,54,1.0389647136635356e-05,1.1937041391027854e-05
Danio rerio,497,470,0.00010986499206186747,0.00010389647136635355
Dictyostelium discoideum,140,152,3.0947885087849996e-05,3.360056095252285e-05
Drosophila melanogaster,113372,116150,0.025061597344140926,0.02567569180681269
Emericella nidulans,84,88,1.8568731052709995e-05,1.9452956340934283e-05
Equus caballus,4,2,8.842252882242855e-07,4.4211264411214276e-07
Escherichia coli,366884,365834,0.0811020276612197,0.08086991852306082
Felis Catus,6,2,1.3263379323364282e-06,4.4211264411214276e-07
Gallus gallus,736,764,0.00016269745303326854,0.00016888703005083852
Glycine max,59,42,1.3042323001308212e-05,9.284365526354998e-06
Homo sapiens,2050491,2103080,0.4532739988690759,0.4648991297896826
Human Herpesvirus 1,452,330,9.991745756934426e-05,7.294858627850355e-05
Human Herpesvirus 2,3,2,6.631689661682141e-07,4.4211264411214276e-07
Human Herpesvirus 3,16,14,3.536901152897142e-06,3.0947885087849995e-06
Human Herpesvirus 4,457,286,0.00010102273917962462,6.322210810803641e-05
Human Herpesvirus 5,191,174,4.222175751270963e-05,3.846380003775642e-05
Human Herpesvirus 6B,4,4,8.842252882242855e-07,8.842252882242855e-07
Human Herpesvirus 8,884,758,0.0001954137886975671,0.0001675606921185021
Human Immunodeficiency Virus 1,1127,16,0.00024913047495719247,3.536901152897142e-06
Human Immunodeficiency Virus 2,81,38,1.7905562086541783e-05,8.400140238130713e-06
Human papillomavirus,2363,824,0.0005223560890184966,0.0001821504093742028
Leishmania major,2,0,4.4211264411214276e-07,0.0
Macaca mulatta,301,50,6.653795293887748e-05,1.105281610280357e-05
Middle-East Respiratory Syndrome-related Coronavirus,729,78,0.00016115005877887604,1.7242393120373567e-05
Monodelphis domestica,2,2,4.4211264411214276e-07,4.4211264411214276e-07
Mus musculus,150828,155514,0.03334148294307313,0.034377352868227885
Mycobacterium tuberculosis,19,14,4.200070119065357e-06,3.0947885087849995e-06
Neurospora crassa,43,40,9.50542184841107e-06,8.842252882242855e-06
Oryctolagus cuniculus,260,220,5.747464373457856e-05,4.8632390852335704e-05
Oryza sativa,591,562,0.00013064428633513818,0.00012423365299551212
Pan troglodytes,44,6,9.726478170467141e-06,1.3263379323364282e-06
Pediculus humanus,2,2,4.4211264411214276e-07,4.4211264411214276e-07
Plasmodium falciparum,3789,4036,0.0008375824042704545,0.0008921833158183041
Rattus norvegicus,11795,12270,0.002607359318651362,0.002712361071627996
Ricinus communis,5,2,1.105281610280357e-06,4.4211264411214276e-07
Saccharomyces cerevisiae,1452870,1415004,0.3211660986256044,0.3127955799346292
Schizosaccharomyces pombe,139659,142658,0.030872504882028872,0.03153545279187503
Selaginella moellendorffii,16,6,3.536901152897142e-06,1.3263379323364282e-06
Severe acute respiratory syndrome coronavirus 2,25450,42,0.005625883396327016,9.284365526354998e-06
Severe acute respiratory syndrome-related coronavirus,1550,64,0.0003426372991869106,1.4147604611588568e-05
Simian Immunodeficiency Virus,32,20,7.073802305794284e-06,4.421126441121428e-06
Simian Virus 40,15,2,3.3158448308410705e-06,4.4211264411214276e-07
Solanum lycopersicum,182,154,4.023225061420499e-05,3.404267359663499e-05
Solanum tuberosum,3,6,6.631689661682141e-07,1.3263379323364282e-06
Sorghum bicolor,2,0,4.4211264411214276e-07,0.0
Streptococcus pneumoniae,2,0,4.4211264411214276e-07,0.0
Sus scrofa,68,62,1.5031829899812854e-05,1.3705491967476426e-05
Tobacco Mosaic Virus,2,2,4.4211264411214276e-07,4.4211264411214276e-07
Vaccinia Virus,16,14,3.536901152897142e-06,3.0947885087849995e-06
Xenopus laevis,4093,4180,0.0009047835261755001,0.0009240154261943783
Zea mays,22,12,4.863239085233571e-06,2.6526758646728564e-06
