organism,pos_count,neg_count,pos_prop,neg_prop
Arabidopsis thaliana,4927,4946,0.027591729761211416,0.027698131804130638
Bacillus subtilis,4,2,2.2400430088257694e-05,1.1200215044128847e-05
Bos taurus,14,18,7.840150530890194e-05,0.00010080193539715963
Caenorhabditis elegans,2388,2406,0.013373056762689843,0.013473858698087003
Candida albicans,55,56,0.0003080059137135433,0.00031360602123560775
Canis familiaris,2,0,1.1200215044128847e-05,0.0
Chlamydomonas reinhardtii,2,2,1.1200215044128847e-05,1.1200215044128847e-05
Cricetulus griseus,2,0,1.1200215044128847e-05,0.0
Danio rerio,25,22,0.00014000268805161058,0.0001232023654854173
Dictyostelium discoideum,6,6,3.360064513238654e-05,3.360064513238654e-05
Drosophila melanogaster,4424,4306,0.02477487567761301,0.02411406299000941
Emericella nidulans,4,6,2.2400430088257694e-05,3.360064513238654e-05
Escherichia coli,13875,13980,0.07770149186864388,0.07828950315846064
Gallus gallus,33,34,0.00018480354822812597,0.0001904036557501904
Glycine max,3,4,1.680032256619327e-05,2.2400430088257694e-05
Homo sapiens,81445,82238,0.45610075713453696,0.46054164239953405
Human Herpesvirus 1,20,12,0.00011200215044128847,6.720129026477308e-05
Human Herpesvirus 4,20,20,0.00011200215044128847,0.00011200215044128847
Human Herpesvirus 5,11,14,6.160118274270866e-05,7.840150530890194e-05
Human Herpesvirus 8,46,58,0.0002576049460149635,0.0003248062362797366
Human Immunodeficiency Virus 1,38,20,0.0002128040858384481,0.00011200215044128847
Human Immunodeficiency Virus 2,4,4,2.2400430088257694e-05,2.2400430088257694e-05
Human papillomavirus,95,96,0.0005320102145961202,0.0005376103221181847
Leishmania major,2,0,1.1200215044128847e-05,0.0
Macaca mulatta,10,2,5.6001075220644236e-05,1.1200215044128847e-05
Middle-East Respiratory Syndrome-related Coronavirus,44,28,0.0002464047309708346,0.00015680301061780387
Mus musculus,5992,5950,0.03355584427221003,0.03332063975628332
Mycobacterium tuberculosis,1,0,5.6001075220644236e-06,0.0
Neurospora crassa,4,4,2.2400430088257694e-05,2.2400430088257694e-05
Oryctolagus cuniculus,7,4,3.920075265445097e-05,2.2400430088257694e-05
Oryza sativa,8,4,4.480086017651539e-05,2.2400430088257694e-05
Pan troglodytes,2,0,1.1200215044128847e-05,0.0
Plasmodium falciparum,128,110,0.0007168137628242462,0.0006160118274270866
Rattus norvegicus,575,596,0.0032200618251870435,0.0033376640831503965
Saccharomyces cerevisiae,57004,57666,0.3192285291877604,0.3229358003673671
Schizosaccharomyces pombe,5493,5610,0.03076139061869988,0.031416603198781416
Severe acute respiratory syndrome coronavirus 2,1588,158,0.008892970745038305,0.0008848169884861789
Severe acute respiratory syndrome-related coronavirus,109,70,0.0006104117199050221,0.00039200752654450964
Simian Immunodeficiency Virus,1,0,5.6001075220644236e-06,0.0
Solanum lycopersicum,2,0,1.1200215044128847e-05,0.0
Streptococcus pneumoniae,2,0,1.1200215044128847e-05,0.0
Sus scrofa,5,4,2.8000537610322118e-05,2.2400430088257694e-05
Xenopus laevis,148,112,0.0008288159132655347,0.0006272120424712155
